,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
VEH001,0.0,12.77,15.18,28.5,24.55,45.74,34.97,39.9,2.53,27.3,26.21,37.18,24.82,12.02,3.96,23.8,28.99,16.23,16.29,20.4,38.57,25.89,28.58,12.04,14.4,6.8,18.61,4.22,22.86,2.59,27.99,19.49,7.24,24.86,11.92,28.87,5.66,31.91,12.94,12.04,26.92,14.24,24.33,31.73,21.08,14.29,19.61,28.56,14.89,12.34,22.66,33.14,26.5,15.07,16.69,12.22,14.25,14.82,29.88,29.12
VEH002,12.41,0.0,5.69,20.44,16.18,36.15,25.61,31.26,12.32,17.92,16.41,24.66,15.02,8.95,15.72,15.11,20.92,8.31,5.24,7.48,28.97,16.08,17.04,8.97,8.26,8.35,7.01,10.54,14.05,21.0,17.95,5.81,9.35,15.06,7.53,19.27,10.27,22.31,9.09,8.97,18.3,1.61,15.89,19.61,8.08,4.26,8.1,20.49,3.92,3.91,13.86,23.54,17.02,7.15,4.93,4.35,4.0,3.29,20.29,19.77
VEH003,14.51,4.89,0.0,21.86,11.41,33.39,20.89,26.54,15.52,13.2,12.84,20.88,10.44,9.28,16.85,16.93,22.34,3.77,7.54,7.97,25.2,12.52,19.2,9.3,5.7,8.77,7.7,12.15,16.21,19.78,18.03,7.17,9.8,11.49,5.62,15.5,11.88,18.54,9.42,9.3,20.28,4.58,11.16,15.83,7.3,2.71,5.88,21.91,7.88,8.22,16.01,19.77,12.3,2.61,6.45,9.09,7.29,3.47,16.51,13.92
VEH004,27.43,20.51,20.79,0.0,25.32,27.04,22.02,22.16,26.7,26.14,20.66,19.83,21.34,28.47,30.1,6.67,2.02,22.65,14.51,11.9,19.87,21.75,2.54,28.49,25.89,24.83,13.33,27.29,7.24,35.38,19.21,13.39,26.85,20.44,25.72,13.09,30.39,16.4,28.61,28.49,1.97,19.57,29.13,14.27,13.64,18.9,15.45,2.72,17.77,18.46,7.42,16.62,27.09,22.24,13.55,18.28,17.18,18.36,14.84,23.46
VEH005,25.01,15.94,12.1,27.18,0.0,24.71,12.2,17.85,25.35,3.39,7.72,17.41,7.13,15.08,26.48,25.48,26.87,7.39,18.89,16.51,20.22,7.95,23.4,15.1,13.47,21.75,16.24,23.36,24.75,26.84,9.38,15.71,20.3,8.14,14.17,15.2,19.1,14.37,13.51,15.1,25.81,16.15,1.11,14.39,15.84,13.54,11.67,25.21,18.87,19.88,24.56,15.96,2.49,9.93,14.99,20.24,18.28,14.95,15.13,6.36
VEH006,45.27,34.86,32.39,27.02,25.11,0.0,14.1,8.11,45.61,22.28,18.89,13.07,24.35,37.33,46.94,32.31,26.71,29.87,36.87,32.79,9.09,20.94,27.56,37.35,35.72,42.01,32.04,43.62,30.16,49.09,17.44,33.2,43.28,20.03,36.42,20.31,41.35,15.71,35.75,37.35,25.66,34.55,24.67,17.63,29.25,32.69,30.91,25.05,40.35,41.04,29.97,15.99,25.4,31.96,32.68,40.86,39.76,33.44,17.4,19.6
VEH007,32.21,21.81,19.33,21.76,12.79,14.0,0.0,7.15,32.55,9.96,5.86,7.04,8.02,25.01,34.62,27.05,21.45,17.55,28.61,19.74,9.51,7.91,21.18,25.03,23.4,28.95,18.98,30.56,24.9,36.77,4.41,17.15,27.5,7.01,24.1,7.14,29.03,3.66,23.43,25.03,20.39,19.34,12.36,5.62,17.2,19.63,17.85,19.78,28.59,25.14,19.35,5.25,10.92,19.64,19.63,25.58,28.0,18.6,5.13,7.28
VEH008,36.74,26.34,23.86,21.38,17.33,10.5,6.32,0.0,40.35,14.5,11.11,6.03,15.39,31.03,39.16,28.4,21.26,22.78,33.15,24.27,4.93,13.16,22.53,29.56,27.94,33.48,23.51,35.09,26.25,41.31,9.66,23.71,32.03,14.19,28.64,11.65,33.57,5.22,27.97,29.56,21.74,26.02,16.89,10.12,21.73,24.16,22.38,21.13,33.12,29.67,26.05,8.24,15.46,24.18,23.66,30.11,32.54,24.91,9.72,11.82
VEH009,2.56,12.15,15.54,27.88,25.18,49.15,32.93,40.26,0.0,26.92,26.58,34.62,25.18,13.91,5.85,23.18,28.36,16.59,15.77,19.78,38.93,26.25,25.22,13.92,13.11,5.61,17.99,3.67,22.23,11.13,28.36,18.87,6.74,25.22,12.29,29.23,6.57,32.28,14.83,13.92,26.3,14.17,24.89,29.57,21.44,13.36,19.97,27.93,13.68,12.29,22.04,33.5,27.26,15.44,16.06,11.6,13.63,14.19,32.5,28.77
VEH010,26.68,17.91,14.08,24.49,4.17,22.57,9.82,15.71,27.02,0.0,5.58,15.27,6.79,16.82,26.43,27.45,24.18,9.81,20.87,15.54,18.08,5.26,23.91,16.83,15.21,23.42,14.79,25.03,21.74,28.57,7.21,16.55,21.97,4.78,15.91,13.06,20.84,14.04,15.24,16.83,23.12,18.13,3.95,12.25,13.01,15.52,13.66,22.51,20.85,21.86,21.55,13.82,1.31,11.9,16.97,22.21,20.26,16.92,13.0,4.22
