,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
VEH001,0.0,27.576,31.284,51.768,43.938,79.722,59.489999999999995,107.73,8.208,73.71000000000001,50.742000000000004,100.40400000000001,46.962,21.114,8.874,47.214,51.443999999999996,33.462,33.21,41.292,67.08600000000001,49.104000000000006,77.148,21.906,27.666,17.73,42.066,12.852,45.504000000000005,7.002000000000001,53.712,40.95,17.46,46.728,25.668,54.234,15.264000000000001,56.466,25.344,21.906,46.566,33.480000000000004,65.682,85.662,41.598,38.592000000000006,39.582,50.706,33.372,26.334000000000003,44.190000000000005,58.73400000000001,48.257999999999996,30.581999999999997,36.72,27.27,30.726000000000003,31.986,57.63600000000001,50.616
VEH002,33.498,0.0,13.482000000000001,42.012,33.138,67.914,46.602000000000004,55.314,26.514000000000003,37.26,37.422,51.21,33.642,23.778000000000002,30.06,37.044,41.688,19.602,13.374,20.124,55.26,35.784,45.99,24.57,22.464000000000002,18.486,18.162,24.57,35.550000000000004,43.47,48.474000000000004,17.334000000000003,23.040000000000003,33.408,20.538,42.408,27.738,44.64,25.650000000000002,24.57,49.392,4.356,32.49,44.64,20.034000000000002,11.466000000000001,20.322,40.931999999999995,13.086,11.124,34.236,46.908,35.28,16.721999999999998,13.302,13.788,12.168,8.514000000000001,45.81,37.746
VEH003,29.286,11.862,0.0,41.85,30.798,58.626000000000005,36.9,45.594,41.904,27.540000000000003,30.042,42.336,28.188000000000002,22.122,30.636,37.152,41.526,10.188,19.548,21.06,46.386,28.404,35.982,22.896,15.390000000000002,22.158,19.116,32.796,35.586,41.76,32.238,19.35,20.7,26.028000000000002,16.866,33.516000000000005,25.452,35.748,23.976000000000003,22.896,36.648,13.59,22.77,35.766000000000005,18.396,7.8660000000000005,15.102000000000002,40.788000000000004,22.23,21.221999999999998,34.29,38.034,25.56,7.308,14.832,24.534000000000002,19.584000000000003,9.414000000000001,36.936,37.583999999999996
VEH004,46.764,39.186,39.366,0.0,68.36399999999999,51.876000000000005,44.406000000000006,44.856,47.556000000000004,50.814,43.452000000000005,42.192,46.548,53.622,51.083999999999996,18.27,6.75,40.931999999999995,39.168000000000006,26.568,39.24,48.366,9.198,54.414,49.464,67.03200000000001,35.982,73.692,19.566,64.51200000000001,39.762,32.202000000000005,72.486,44.514,69.444,29.412,55.314,39.852000000000004,55.476,54.414,7.272,39.762,51.174,33.426,30.492000000000004,51.012,35.496,8.946,36.864000000000004,36.234,20.448,39.438,52.974000000000004,40.554,29.664,36.54,34.218,33.93000000000001,34.398,47.16
VEH005,47.34,33.156000000000006,25.938000000000002,53.568000000000005,0.0,44.676,22.932000000000002,31.626,47.286,9.828,16.776,36.342000000000006,20.448,29.556000000000004,71.496,50.202000000000005,51.426,19.818,35.838,34.11,37.818000000000005,17.73,63.162000000000006,30.348,27.576,42.012,32.166000000000004,44.082,48.636,51.606,25.326,32.4,38.772,18.036,29.538,31.572,36.36,27.215999999999998,30.888,30.348,48.888,34.848,4.266,30.258,31.445999999999998,27.396,31.5,47.7,39.906000000000006,42.12,47.34,30.348,7.848000000000001,22.158,27.882,44.082,37.26,29.016000000000002,31.806000000000004,14.058
VEH006,80.172,66.024,59.382000000000005,52.794,46.746,0.0,29.790000000000003,19.872,80.118,41.940000000000005,37.71,30.978,47.142,66.816,80.19,62.315999999999995,50.652,56.376000000000005,67.176,63.215999999999994,22.032,42.912,74.412,67.59,64.83600000000001,74.844,61.002,76.914,60.78600000000001,88.848,34.002,65.97,116.85600000000001,40.230000000000004,66.798,40.266000000000005,73.602,31.319999999999997,68.148,67.59,48.114000000000004,67.75200000000001,45.864000000000004,38.286,78.98400000000001,60.246,57.978,46.926,74.664,74.01599999999999,59.489999999999995,29.933999999999997,68.58,58.446,62.117999999999995,74.322,72.018,62.442,36.324,38.304
VEH007,59.958000000000006,45.792,39.168000000000006,43.308,25.074,28.962,0.0,15.912,59.88600000000001,20.268,15.264000000000001,18.990000000000002,21.654,45.126000000000005,58.518,52.830000000000005,41.184,34.686,50.436,43.002,22.104,20.465999999999998,41.454,45.918000000000006,43.146,54.63,40.788000000000004,56.7,51.300000000000004,67.176,11.556000000000001,46.314,51.39,17.784000000000002,45.108,19.224,51.93000000000001,10.206,46.476,45.918000000000006,38.628,52.218,24.192,16.902,37.512,40.032,37.764,37.458,54.504000000000005,55.17,52.236,13.356,22.446,36.75600000000001,41.886,57.815999999999995,51.858,50.238,13.842,16.614
VEH008,67.158,52.992000000000004,46.368,57.726,31.698,23.742,14.741999999999999,0.0,108.936,26.892,22.644000000000002,17.244,41.562,83.772,65.142,56.844,57.402,61.50600000000001,57.06,50.202000000000005,15.192,27.846,45.486,52.542,49.769999999999996,61.830000000000005,47.988,63.9,55.332,73.8,18.954,64.00800000000001,58.589999999999996,38.322,51.732,27.018,58.554,14.076,53.082,52.542,42.642,54.72,30.816000000000003,24.696,44.712,47.232,44.964,41.472,61.128,62.37,54.036,19.35,29.052000000000003,43.38,63.882000000000005,65.01599999999999,58.482000000000006,49.41,24.786,23.238
VEH009,8.298,25.956,31.086,50.148,45.972,132.714,59.43600000000001,68.148,0.0,50.076,50.544,62.837999999999994,46.764,26.352,14.112,45.576,49.824,33.264,42.57,39.672,66.88799999999999,48.924,44.28,27.126,28.08,15.822,40.446,10.296,43.884,27.540000000000003,53.514,39.312,18.215999999999998,46.548,25.488,54.036,17.676000000000002,56.268,30.564,27.126,44.946,38.268,45.306000000000004,56.286,41.4,31.176000000000002,39.402,49.086,36.936,33.192,42.57,58.53600000000001,73.602,30.384,35.1,25.650000000000002,29.106000000000005,30.366000000000003,87.75,50.580000000000005
VEH010,52.830000000000005,39.042,31.824,50.832,12.384,42.804,26.496000000000002,29.772,52.757999999999996,0.0,14.904,34.47,18.45,34.830000000000005,48.222,56.106,48.708,25.974,41.724000000000004,37.026,35.964,14.994,48.978,35.622,32.85,47.484,34.812,49.572,52.974000000000004,56.88,16.416,44.676,44.244,12.906,34.812,29.7,41.634,37.908,36.18000000000001,35.622,46.152,40.734,12.708,28.404,31.536,33.300000000000004,31.788,44.982,45.792,48.024,51.66,28.494,5.238,28.044,33.768,49.968,43.146,34.902,29.933999999999997,12.204
