,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
VEH001,0.0,15.32,17.38,28.76,24.41,44.29,33.05,59.85,4.56,40.95,28.19,55.78,26.09,11.73,4.93,26.23,28.58,18.59,18.45,22.94,37.27,27.28,42.86,12.17,15.37,9.85,23.37,7.14,25.28,3.89,29.84,22.75,9.7,25.96,14.26,30.13,8.48,31.37,14.08,12.17,25.87,18.6,36.49,47.59,23.11,21.44,21.99,28.17,18.54,14.63,24.55,32.63,26.81,16.99,20.4,15.15,17.07,17.77,32.02,28.12
VEH002,18.61,0.0,7.49,23.34,18.41,37.73,25.89,30.73,14.73,20.7,20.79,28.45,18.69,13.21,16.7,20.58,23.16,10.89,7.43,11.18,30.7,19.88,25.55,13.65,12.48,10.27,10.09,13.65,19.75,24.15,26.93,9.63,12.8,18.56,11.41,23.56,15.41,24.8,14.25,13.65,27.44,2.42,18.05,24.8,11.13,6.37,11.29,22.74,7.27,6.18,19.02,26.06,19.6,9.29,7.39,7.66,6.76,4.73,25.45,20.97
VEH003,16.27,6.59,0.0,23.25,17.11,32.57,20.5,25.33,23.28,15.3,16.69,23.52,15.66,12.29,17.02,20.64,23.07,5.66,10.86,11.7,25.77,15.78,19.99,12.72,8.55,12.31,10.62,18.22,19.77,23.2,17.91,10.75,11.5,14.46,9.37,18.62,14.14,19.86,13.32,12.72,20.36,7.55,12.65,19.87,10.22,4.37,8.39,22.66,12.35,11.79,19.05,21.13,14.2,4.06,8.24,13.63,10.88,5.23,20.52,20.88
VEH004,25.98,21.77,21.87,0.0,37.98,28.82,24.67,24.92,26.42,28.23,24.14,23.44,25.86,29.79,28.38,10.15,3.75,22.74,21.76,14.76,21.8,26.87,5.11,30.23,27.48,37.24,19.99,40.94,10.87,35.84,22.09,17.89,40.27,24.73,38.58,16.34,30.73,22.14,30.82,30.23,4.04,22.09,28.43,18.57,16.94,28.34,19.72,4.97,20.48,20.13,11.36,21.91,29.43,22.53,16.48,20.3,19.01,18.85,19.11,26.2
VEH005,26.3,18.42,14.41,29.76,0.0,24.82,12.74,17.57,26.27,5.46,9.32,20.19,11.36,16.42,39.72,27.89,28.57,11.01,19.91,18.95,21.01,9.85,35.09,16.86,15.32,23.34,17.87,24.49,27.02,28.67,14.07,18.0,21.54,10.02,16.41,17.54,20.2,15.12,17.16,16.86,27.16,19.36,2.37,16.81,17.47,15.22,17.5,26.5,22.17,23.4,26.3,16.86,4.36,12.31,15.49,24.49,20.7,16.12,17.67,7.81
VEH006,44.54,36.68,32.99,29.33,25.97,0.0,16.55,11.04,44.51,23.3,20.95,17.21,26.19,37.12,44.55,34.62,28.14,31.32,37.32,35.12,12.24,23.84,41.34,37.55,36.02,41.58,33.89,42.73,33.77,49.36,18.89,36.65,64.92,22.35,37.11,22.37,40.89,17.4,37.86,37.55,26.73,37.64,25.48,21.27,43.88,33.47,32.21,26.07,41.48,41.12,33.05,16.63,38.1,32.47,34.51,41.29,40.01,34.69,20.18,21.28
VEH007,33.31,25.44,21.76,24.06,13.93,16.09,0.0,8.84,33.27,11.26,8.48,10.55,12.03,25.07,32.51,29.35,22.88,19.27,28.02,23.89,12.28,11.37,23.03,25.51,23.97,30.35,22.66,31.5,28.5,37.32,6.42,25.73,28.55,9.88,25.06,10.68,28.85,5.67,25.82,25.51,21.46,29.01,13.44,9.39,20.84,22.24,20.98,20.81,30.28,30.65,29.02,7.42,12.47,20.42,23.27,32.12,28.81,27.91,7.69,9.23
VEH008,37.31,29.44,25.76,32.07,17.61,13.19,8.19,0.0,60.52,14.94,12.58,9.58,23.09,46.54,36.19,31.58,31.89,34.17,31.7,27.89,8.44,15.47,25.27,29.19,27.65,34.35,26.66,35.5,30.74,41.0,10.53,35.56,32.55,21.29,28.74,15.01,32.53,7.82,29.49,29.19,23.69,30.4,17.12,13.72,24.84,26.24,24.98,23.04,33.96,34.65,30.02,10.75,16.14,24.1,35.49,36.12,32.49,27.45,13.77,12.91
VEH009,4.61,14.42,17.27,27.86,25.54,73.73,33.02,37.86,0.0,27.82,28.08,34.91,25.98,14.64,7.84,25.32,27.68,18.48,23.65,22.04,37.16,27.18,24.6,15.07,15.6,8.79,22.47,5.72,24.38,15.3,29.73,21.84,10.12,25.86,14.16,30.02,9.82,31.26,16.98,15.07,24.97,21.26,25.17,31.27,23.0,17.32,21.89,27.27,20.52,18.44,23.65,32.52,40.89,16.88,19.5,14.25,16.17,16.87,48.75,28.1
VEH010,29.35,21.69,17.68,28.24,6.88,23.78,14.72,16.54,29.31,0.0,8.28,19.15,10.25,19.35,26.79,31.17,27.06,14.43,23.18,20.57,19.98,8.33,27.21,19.79,18.25,26.38,19.34,27.54,29.43,31.6,9.12,24.82,24.58,7.17,19.34,16.5,23.13,21.06,20.1,19.79,25.64,22.63,7.06,15.78,17.52,18.5,17.66,24.99,25.44,26.68,28.7,15.83,2.91,15.58,18.76,27.76,23.97,19.39,16.63,6.78
