,VEH001,VEH002,VEH003,VEH004,VEH005,VEH006,VEH007,VEH008,VEH009,VEH010,DEL0001,DEL0002,DEL0003,DEL0004,DEL0005,DEL0006,DEL0007,DEL0008,DEL0009,DEL0010,DEL0011,DEL0012,DEL0013,DEL0014,DEL0015,DEL0016,DEL0017,DEL0018,DEL0019,DEL0020,DEL0021,DEL0022,DEL0023,DEL0024,DEL0025,DEL0026,DEL0027,DEL0028,DEL0029,DEL0030,DEL0031,DEL0032,DEL0033,DEL0034,DEL0035,DEL0036,DEL0037,DEL0038,DEL0039,DEL0040,DEL0041,DEL0042,DEL0043,DEL0044,DEL0045,DEL0046,DEL0047,DEL0048,DEL0049,DEL0050
VEH001,0.0,22.98,26.07,43.14,36.615,66.435,49.574999999999996,89.775,6.84,61.425000000000004,42.285000000000004,83.67,39.135,17.595,7.395,39.345,42.87,27.884999999999998,27.674999999999997,34.410000000000004,55.905,40.92,64.28999999999999,18.255,23.055,14.774999999999999,35.055,10.709999999999999,37.92,5.835,44.76,34.125,14.549999999999999,38.94,21.39,45.195,12.72,47.055,21.12,18.255,38.805,27.900000000000002,54.735,71.385,34.665,32.160000000000004,32.985,42.255,27.81,21.945,36.825,48.94500000000001,40.214999999999996,25.485,30.599999999999998,22.725,25.605,26.655,48.03,42.18
VEH002,27.915,0.0,11.235,35.01,27.615000000000002,56.595,38.835,46.095,22.095,31.049999999999997,31.185,42.675,28.035000000000004,19.815,25.049999999999997,30.869999999999997,34.74,16.335,11.145,16.77,46.05,29.82,38.325,20.475,18.72,15.405,15.135,20.475,29.625,36.224999999999994,40.394999999999996,14.445,19.200000000000003,27.839999999999996,17.115000000000002,35.339999999999996,23.115000000000002,37.2,21.375,20.475,41.160000000000004,3.63,27.075000000000003,37.2,16.695,9.555,16.935,34.11,10.905,9.27,28.53,39.089999999999996,29.400000000000002,13.934999999999999,11.084999999999999,11.49,10.14,7.095000000000001,38.175,31.455
VEH003,24.405,9.885,0.0,34.875,25.665,48.855000000000004,30.75,37.995,34.92,22.950000000000003,25.035000000000004,35.28,23.490000000000002,18.435,25.53,30.96,34.605000000000004,8.49,16.29,17.549999999999997,38.655,23.669999999999998,29.985,19.080000000000002,12.825000000000001,18.465,15.93,27.33,29.655,34.8,26.865000000000002,16.125,17.25,21.69,14.055,27.93,21.21,29.79,19.98,19.080000000000002,30.54,11.325,18.975,29.805,15.330000000000002,6.555,12.585,33.99,18.525,17.685,28.575000000000003,31.695,21.299999999999997,6.09,12.36,20.445,16.32,7.845000000000001,30.78,31.32
VEH004,38.97,32.655,32.805,0.0,56.97,43.230000000000004,37.005,37.38,39.63,42.345,36.21,35.160000000000004,38.79,44.685,42.57,15.225000000000001,5.625,34.11,32.64,22.14,32.7,40.305,7.665000000000001,45.345,41.22,55.86,29.985,61.41,16.305,53.760000000000005,33.135,26.835,60.405,37.095,57.87,24.509999999999998,46.095,33.21,46.230000000000004,45.345,6.0600000000000005,33.135,42.644999999999996,27.855,25.410000000000004,42.51,29.58,7.455,30.72,30.195,17.04,32.865,44.144999999999996,33.795,24.72,30.450000000000003,28.515,28.275000000000002,28.665,39.3
VEH005,39.45,27.630000000000003,21.615000000000002,44.64,0.0,37.230000000000004,19.11,26.355,39.405,8.19,13.98,30.285000000000004,17.04,24.630000000000003,59.58,41.835,42.855000000000004,16.515,29.865000000000002,28.424999999999997,31.515,14.774999999999999,52.635000000000005,25.29,22.98,35.01,26.805,36.735,40.53,43.005,21.105,27.0,32.31,15.03,24.615000000000002,26.31,30.299999999999997,22.68,25.740000000000002,25.29,40.74,29.04,3.555,25.214999999999996,26.205,22.830000000000002,26.25,39.75,33.255,35.099999999999994,39.45,25.29,6.540000000000001,18.465,23.235,36.735,31.049999999999997,24.18,26.505000000000003,11.715
VEH006,66.81,55.019999999999996,49.485,43.995,38.955,0.0,24.825000000000003,16.56,66.765,34.95,31.424999999999997,25.815,39.285000000000004,55.67999999999999,66.82499999999999,51.92999999999999,42.21,46.980000000000004,55.980000000000004,52.67999999999999,18.36,35.76,62.010000000000005,56.324999999999996,54.03,62.37,50.835,64.095,50.655,74.03999999999999,28.335,54.974999999999994,97.38,33.525000000000006,55.665,33.555,61.335,26.099999999999998,56.79,56.324999999999996,40.095,56.46,38.22,31.905,65.82000000000001,50.205,48.315,39.105000000000004,62.22,61.67999999999999,49.574999999999996,24.945,57.150000000000006,48.705,51.765,61.935,60.015,52.035,30.27,31.92
VEH007,49.965,38.160000000000004,32.64,36.089999999999996,20.895,24.134999999999998,0.0,13.26,49.905,16.89,12.72,15.825000000000001,18.044999999999998,37.605000000000004,48.765,44.025000000000006,34.32,28.905,42.03,35.835,18.419999999999998,17.055,34.545,38.265,35.955,45.525000000000006,33.99,47.25,42.75,55.980000000000004,9.629999999999999,38.595,42.825,14.82,37.589999999999996,16.02,43.275000000000006,8.504999999999999,38.730000000000004,38.265,32.19,43.515,20.16,14.085,31.259999999999998,33.36,31.47,31.214999999999996,45.42,45.974999999999994,43.53,11.129999999999999,18.705000000000002,30.630000000000003,34.905,48.17999999999999,43.214999999999996,41.865,11.535,13.845
VEH008,55.965,44.160000000000004,38.64,48.105000000000004,26.415,19.785,12.285,0.0,90.78,22.41,18.87,14.370000000000001,34.635,69.81,54.285,47.37,47.835,51.255,47.55,41.835,12.66,23.205000000000002,37.905,43.785000000000004,41.474999999999994,51.525000000000006,39.99,53.25,46.11,61.5,15.794999999999998,53.34,48.824999999999996,31.935,43.11,22.515,48.795,11.73,44.235,43.785000000000004,35.535000000000004,45.599999999999994,25.68,20.580000000000002,37.26,39.36,37.47,34.56,50.94,51.974999999999994,45.03,16.125,24.21,36.150000000000006,53.235,54.17999999999999,48.735,41.175,20.655,19.365000000000002
VEH009,6.915000000000001,21.63,25.905,41.79,38.31,110.595,49.53,56.79,0.0,41.730000000000004,42.12,52.364999999999995,38.97,21.96,11.76,37.980000000000004,41.519999999999996,27.72,35.474999999999994,33.06,55.739999999999995,40.769999999999996,36.900000000000006,22.605,23.4,13.184999999999999,33.705,8.58,36.57,22.950000000000003,44.595,32.76,15.18,38.79,21.240000000000002,45.03,14.73,46.89,25.47,22.605,37.455,31.89,37.755,46.905,34.5,25.98,32.835,40.905,30.78,27.660000000000004,35.474999999999994,48.78,61.335,25.32,29.25,21.375,24.255000000000003,25.305,73.125,42.150000000000006
VEH010,44.025000000000006,32.535000000000004,26.52,42.36,10.32,35.67,22.080000000000002,24.81,43.964999999999996,0.0,12.419999999999998,28.724999999999998,15.375,29.025000000000002,40.185,46.755,40.589999999999996,21.645,34.769999999999996,30.855,29.97,12.495000000000001,40.815,29.685,27.375,39.57,29.009999999999998,41.31,44.144999999999996,47.400000000000006,13.68,37.230000000000004,36.87,10.754999999999999,29.009999999999998,24.75,34.695,31.589999999999996,30.150000000000002,29.685,38.46,33.945,10.59,23.669999999999998,26.28,27.75,26.490000000000002,37.485,38.160000000000004,40.019999999999996,43.05,23.745,4.365,23.37,28.14,41.64,35.955,29.085,24.945,10.17
